,algorithm,seed,feature,information_gain
0,base,123,Open,141457381.3503517
1,base,123,Promo,3095847.0779742487
2,base,123,DayOfWeek_6,2801788.9384399992
3,base,123,month,855827.8653217602
4,base,123,year,409636.070618
5,base,123,DayOfWeek_1,931826.192211862
6,base,123,DayOfWeek_3,590954.935649453
7,base,123,DayOfWeek_2,487661.5434513793
8,base,123,DayOfWeek_4,445587.89173929446
9,base,123,DayOfWeek_5,398095.02352964785
10,base,123,SchoolHoliday,536001.2712052771
11,base,123,DayOfWeek_7,7032023.521662941
12,base,123,StateHoliday_0,2186469.279326176
13,base,123,StateHoliday_a,7385.7837555999995
0,base,234,Open,137215181.94493565
1,base,234,Promo,3794415.924171675
2,base,234,DayOfWeek_6,3572994.712069297
3,base,234,month,845888.1959875213
4,base,234,DayOfWeek_3,616762.7860275927
5,base,234,DayOfWeek_7,86046267.70496571
6,base,234,StateHoliday_0,30419092.43853
7,base,234,DayOfWeek_1,1248071.234947389
8,base,234,year,377852.517913213
9,base,234,DayOfWeek_5,468299.8307982957
10,base,234,DayOfWeek_2,551478.7257888374
11,base,234,DayOfWeek_4,542144.5170527172
12,base,234,SchoolHoliday,523702.8116651271
13,base,234,StateHoliday_a,893.712564
0,base,456,DayOfWeek_7,54044270.20320562
1,base,456,StateHoliday_0,21181150.24327207
2,base,456,Promo,3801382.2271032496
3,base,456,DayOfWeek_6,4437514.173152759
4,base,456,month,1316099.077882793
5,base,456,Open,134222483.67485464
6,base,456,DayOfWeek_1,1166595.8334981592
7,base,456,DayOfWeek_3,615414.4973380002
8,base,456,DayOfWeek_2,976875.8687536363
9,base,456,year,479575.1525309608
10,base,456,DayOfWeek_5,696181.2331831461
11,base,456,DayOfWeek_4,371867.3459925433
12,base,456,SchoolHoliday,567621.081695453
13,base,456,StateHoliday_a,101250.70859387249
0,base,34,Open,120130735.22474346
1,base,34,Promo,3041062.5771274595
2,base,34,DayOfWeek_6,3850592.836328707
3,base,34,month,941489.7080045713
4,base,34,DayOfWeek_3,393833.33507898654
5,base,34,DayOfWeek_1,910411.459490118
6,base,34,DayOfWeek_2,481786.43515883223
7,base,34,year,397266.5568077685
8,base,34,DayOfWeek_5,464215.3904604446
9,base,34,DayOfWeek_7,14703499.609433759
10,base,34,StateHoliday_0,7119766.165951116
11,base,34,SchoolHoliday,519351.5815309528
12,base,34,DayOfWeek_4,385398.2069210071
13,base,34,StateHoliday_a,1170.08105
0,base,1334,Open,124856232.34398247
1,base,1334,Promo,2824462.351821643
2,base,1334,DayOfWeek_6,3703698.3059356282
3,base,1334,month,830946.6201356911
4,base,1334,DayOfWeek_1,1062090.723069679
5,base,1334,year,359834.14702591073
6,base,1334,DayOfWeek_3,477034.1097178676
7,base,1334,DayOfWeek_2,477019.32146924076
8,base,1334,DayOfWeek_7,29719706.023796402
9,base,1334,StateHoliday_0,9508733.1811403
10,base,1334,DayOfWeek_4,490818.96489667497
11,base,1334,DayOfWeek_5,377940.6218284154
12,base,1334,SchoolHoliday,435536.559708676
13,base,1334,StateHoliday_a,2112.40649504
0,base,978,Open,197109682.53730687
1,base,978,Promo,4400935.824074036
2,base,978,month,1298143.6916107223
3,base,978,DayOfWeek_6,4799372.93023889
4,base,978,year,602418.3631017642
5,base,978,DayOfWeek_1,1166599.938731519
6,base,978,DayOfWeek_3,735522.9918268045
7,base,978,DayOfWeek_7,42489977.91257282
8,base,978,StateHoliday_0,17054581.92476108
9,base,978,DayOfWeek_2,733080.9252943923
10,base,978,DayOfWeek_4,581688.3643559221
11,base,978,DayOfWeek_5,514091.39842426457
12,base,978,SchoolHoliday,621839.2533814036
13,base,978,StateHoliday_a,110557.51500163265
0,base,1919,Open,198085243.0011491
1,base,1919,Promo,4644910.528369857
2,base,1919,DayOfWeek_6,4033647.010751416
3,base,1919,month,1100649.6542212465
4,base,1919,DayOfWeek_3,619560.9685324469
5,base,1919,DayOfWeek_1,1537748.3073845063
6,base,1919,year,515349.0523421131
7,base,1919,DayOfWeek_5,565608.332729417
8,base,1919,DayOfWeek_4,467333.9065908848
9,base,1919,SchoolHoliday,700554.7554783663
10,base,1919,DayOfWeek_7,10487201.521888753
11,base,1919,StateHoliday_0,2647212.961528571
12,base,1919,DayOfWeek_2,607534.0973461539
