,algorithm,seed,mse,rmse,r2_score
0,base,123,219404.203125,468.40602379239317,0.9363829451637172
0,base,234,213242.375,461.78173956968027,0.9381695932932065
0,base,456,217918.21875,466.8171148854763,0.9368138049562388
0,base,34,218400.828125,467.3337438330342,0.9366738688019546
0,base,1334,211972.546875,460.40476417495944,0.9385377805306439
0,base,978,217778.046875,466.66695498503,0.9368544421202585
0,base,1919,224935.9375,474.27411641370435,0.934778997627647
0,base,98,221418.96875,470.55177053114994,0.9357987552735028
0,base,2647,213093.78125,461.62081977527833,0.9382126700574812
0,base,12,215684.28125,464.41821804274645,0.9374615511624368
0,base,9,212438.546875,460.9105627722151,0.9384026531704674
0,base,455,218254.203125,467.17684352394866,0.9367163891057779
0,base,23,225243.25,474.5979877749167,0.9346898910284649
0,base,44,218203.359375,467.122424397502,0.9367311355704456
0,base,665,211818.546875,460.2374896452917,0.9385824401586765
0,tpot,123,150942.25,388.5128697997017,0.9562337372175751
0,tpot,234,149896.546875,387.1647541744987,0.9565369474013987
0,tpot,456,150724.484375,388.23251328939466,0.9562968811109144
0,tpot,34,147688.40625,384.30249316131165,0.9571771992639442
0,tpot,1334,151486.484375,389.2126467305501,0.9560759344339884
0,tpot,978,151386.734375,389.0844823107187,0.9561048598675946
0,tpot,1919,148941.6875,385.92964060823317,0.9568138070349432
0,tpot,98,154251.875,392.7491247603233,0.9552740952612675
0,tpot,2647,149924.234375,387.2005092649027,0.9565289135924326
0,tpot,12,150156.5,387.5003225805109,0.9564615665156104
0,tpot,9,150490.015625,387.9304262686803,0.9563648667375296
0,tpot,455,148516.34375,385.3781827633734,0.9569371368356896
0,tpot,23,150832.6875,388.3718417959778,0.9562655097761924
0,tpot,44,151759.75,389.5635378214958,0.9559967017916183
0,tpot,665,149871.3125,387.13216412486315,0.9565442622101555
0,tpot_selection,123,154327.625,392.84554853020796,0.9552521363825784
0,tpot_selection,234,169545.09375,411.75853816284126,0.9508397804848839
0,tpot_selection,456,149080.875,386.10992605733406,0.9567734487980276
0,tpot_selection,34,156697.125,395.8498768472715,0.9545650901907831
0,tpot_selection,1334,157377.234375,396.7079963587828,0.9543678910086902
0,tpot_selection,978,150514.609375,387.9621236345115,0.9563577313157563
0,tpot_selection,1919,156840.5,396.0309331352792,0.9545235190431669
0,tpot_selection,98,149020.9375,386.0323011096351,0.9567908306207799
0,tpot_selection,2647,148379.796875,385.200982442932,0.9569767304909991
0,tpot_selection,12,152496.453125,390.50794246084166,0.9557830985683151
0,tpot_selection,9,151736.25,389.5333746933631,0.9560035149323582
